CodeInsee;CodeDepartement;pays;Commune;Macron PCT;MACRON;LE PEN;MÉLENCHON;MACRON;exp;LE PEN;exp;MÉLENCHON;exp
73176;73;France;Montvalezan;26;11464968;123;97;70;26;11464968;20;59447983;14;86199575
73177;73;France;Montvernier;23;97660819;41;42;37;23;97660819;24;56140351;21;6374269
73178;73;France;La Motte-en-Bauges;17;52021563;65;90;106;17;52021563;24;25876011;28;57142857
73179;73;France;La Motte-Servolex;30;8056872;2210;1550;1241;30;8056872;21;60579872;17;2985782
73180;73;France;Motz;21;6828479;67;83;68;21;6828479;26;86084142;22;00647249
73181;73;France;Moûtiers;24;56;307;314;269;24;56;25;12;21;52
73182;73;France;Mouxy;31;7218543;479;311;214;31;7218543;20;59602649;14;17218543
73183;73;France;Myans;30;47058824;259;189;122;30;47058824;22;23529412;14;35294118
73184;73;France;Nances;25;69832402;92;86;67;25;69832402;24;02234637;18;7150838
73186;73;France;Notre-Dame-de-Bellecombe;33;33333333;106;68;33;33;33333333;21;3836478;10;37735849
73187;73;France;La Léchère;17;43176179;281;489;348;17;43176179;30;33498759;21;58808933
73188;73;France;Notre-Dame-des-Millières;17;4137931;101;233;88;17;4137931;40;17241379;15;17241379
73189;73;France;Notre-Dame-du-Cruet;18;54304636;28;68;20;18;54304636;45;03311258;13;24503311
73190;73;France;Notre-Dame-du-Pré;33;11258278;50;44;19;33;11258278;29;13907285;12;58278146
73191;73;France;Novalaise;29;24393723;410;275;273;29;24393723;19;61483595;19;4721826
73192;73;France;Le Noyer;21;85430464;33;27;45;21;85430464;17;8807947;29;8013245
73193;73;France;Ontex;15;25423729;9;12;8;15;25423729;20;33898305;13;55932203
73194;73;France;Orelle;29;22374429;64;71;37;29;22374429;32;42009132;16;89497717
73196;73;France;Pallud;26;74418605;138;124;88;26;74418605;24;03100775;17;05426357
73197;73;France;Peisey-Nancroix;37;41176471;159;55;72;37;41176471;12;94117647;16;94117647
73200;73;France;Planaise;29;55223881;99;68;66;29;55223881;20;29850746;19;70149254
73201;73;France;Planay;23;61111111;51;74;27;23;61111111;34;25925926;12;5
73202;73;France;Plancherine;24;65753425;72;57;61;24;65753425;19;52054795;20;89041096
73204;73;France;Le Pont-de-Beauvoisin;20;90517241;194;288;234;20;90517241;31;03448276;25;21551724
73205;73;France;Le Pontet;18;55670103;18;25;13;18;55670103;25;77319588;13;40206186
73206;73;France;Pralognan-la-Vanoise;31;42250531;148;77;87;31;42250531;16;34819533;18;47133758
73207;73;France;Presle;21;89542484;67;91;67;21;89542484;29;73856209;21;89542484
73208;73;France;Pugny-Chatenod;38;1294964;265;89;98;38;1294964;12;8057554;14;10071942
73210;73;France;Puygros;28;32167832;81;72;43;28;32167832;25;17482517;15;03496503
73211;73;France;Queige;21;46189736;138;157;169;21;46189736;24;41679627;26;28304821
73212;73;France;Val-d'Arc;20;14537902;194;334;182;20;14537902;34;68328141;18;8992731
73213;73;France;La Ravoire;27;4618871;1333;1073;1031;27;4618871;22;10548002;21;24021426
73214;73;France;Rochefort;28;17679558;51;44;31;28;17679558;24;30939227;17;12707182
73215;73;France;Valgelon-La Rochette;25;38095238;533;646;379;25;38095238;30;76190476;18;04761905
73216;73;France;Rognaix;11;70212766;33;119;42;11;70212766;42;19858156;14;89361702
73217;73;France;Rotherens;36;72;54;28;36;27;14
73218;73;France;Ruffieux;25;14177694;133;142;83;25;14177694;26;84310019;15;6899811
73219;73;France;Saint-Alban-de-Montbel;34;33179724;149;83;94;34;33179724;19;12442396;21;65898618
73220;73;France;Saint-Alban-d'Hurtières;21;37931034;62;75;60;21;37931034;25;86206897;20;68965517
73221;73;France;Saint-Alban-des-Villards;20;15503876;26;29;17;20;15503876;22;48062016;13;17829457
73222;73;France;Saint-Alban-Leysse;28;31505484;1136;818;805;28;31505484;20;3888335;20;06480558
73223;73;France;Saint-André;18;99109792;64;97;53;18;99109792;28;78338279;15;72700297
73224;73;France;Saint-Avre;15;50218341;71;180;86;15;50218341;39;30131004;18;77729258
73225;73;France;Saint-Baldoph;26;83823529;511;413;355;26;83823529;21;69117647;18;64495798
73226;73;France;Saint-Béron;20;77001013;205;327;195;20;77001013;33;13069909;19;75683891
73227;73;France;Courchevel;30;35211268;431;271;194;30;35211268;19;08450704;13;66197183
73228;73;France;Saint-Cassin;25;89928058;144;124;101;25;89928058;22;30215827;18;16546763
73229;73;France;Saint-Christophe;21;81818182;72;105;44;21;81818182;31;81818182;13;33333333
73230;73;France;Saint-Colomban-des-Villards;22;27488152;47;49;28;22;27488152;23;22274882;13;27014218
73231;73;France;Saint-Étienne-de-Cuines;17;66381766;124;222;142;17;66381766;31;62393162;20;22792023
73232;73;France;Sainte-Foy-Tarentaise;29;74683544;141;90;64;29;74683544;18;98734177;13;5021097
73233;73;France;Saint-Franc;21;42857143;27;14;33;21;42857143;11;11111111;26;19047619
73234;73;France;Saint-François-de-Sales;23;01587302;29;25;32;23;01587302;19;84126984;25;3968254
73235;73;France;Saint-François-Longchamp;26;77165354;102;82;62;26;77165354;21;52230971;16;27296588
73236;73;France;Saint-Genix-les-Villages;23;92179413;416;471;340;23;92179413;27;08453134;19;55146636
73237;73;France;Saint-Georges-d'Hurtières;14;1025641;33;43;84;14;1025641;18;37606838;35;8974359
73240;73;France;Sainte-Hélène-du-Lac;24;47916667;141;125;113;24;47916667;21;70138889;19;61805556
73241;73;France;Sainte-Hélène-sur-Isère;20;33678756;157;255;120;20;33678756;33;03108808;15;54404145
73242;73;France;Saint-Jean-d'Arves;15;09433962;32;64;43;15;09433962;30;18867925;20;28301887
73243;73;France;Saint-Jean-d'Arvey;23;27150084;276;222;323;23;27150084;18;71838111;27;23440135
73245;73;France;Saint-Jean-de-Chevelu;26;09561753;131;136;93;26;09561753;27;09163347;18;52589641
73246;73;France;Saint-Jean-de-Couz;24;86772487;47;52;47;24;86772487;27;51322751;24;86772487
73247;73;France;Saint-Jean-de-la-Porte;26;9681742;161;136;142;26;9681742;22;78056951;23;78559464
73248;73;France;Saint-Jean-de-Maurienne;22;59326113;751;929;658;22;59326113;27;94825511;19;7954272
73249;73;France;Saint-Jeoire-Prieuré;30;75489282;330;260;154;30;75489282;24;23112768;14;35228332
73250;73;France;Saint-Julien-Mont-Denis;18;36306401;175;325;193;18;36306401;34;10283316;20;25183631
73252;73;France;Saint-Léger;13;41463415;22;71;29;13;41463415;43;29268293;17;68292683
73253;73;France;Saint-Marcel;21;40221402;58;88;57;21;40221402;32;47232472;21;03321033
73254;73;France;Sainte-Marie-d'Alvey;16;66666667;16;21;22;16;66666667;21;875;22;91666667
73255;73;France;Sainte-Marie-de-Cuines;15;58704453;77;188;91;15;58704453;38;05668016;18;42105263
73256;73;France;Saint-Martin-d'Arc;20;23121387;35;70;29;20;23121387;40;46242775;16;76300578
73257;73;France;Les Belleville;36;13972235;807;425;367;36;13972235;19;03269145;16;43528885
73258;73;France;Saint-Martin-de-la-Porte;20;92050209;100;117;103;20;92050209;24;47698745;21;54811715
73259;73;France;Saint-Martin-sur-la-Chambre;28;30769231;92;106;35;28;30769231;32;61538462;10;76923077
73261;73;France;Saint-Michel-de-Maurienne;22;27238525;296;380;289;22;27238525;28;59292701;21;74567344
73262;73;France;Saint-Nicolas-la-Chapelle;28;48297214;92;80;37;28;48297214;24;76780186;11;45510836
73263;73;France;Saint-Offenge;25;98870056;184;159;114;25;98870056;22;45762712;16;10169492
73265;73;France;Saint-Ours;27;10084034;129;97;97;27;10084034;20;37815126;20;37815126
73267;73;France;Saint-Pancrace;21;49122807;49;77;36;21;49122807;33;77192982;15;78947368
73268;73;France;Saint-Paul-sur-Isère;17;64705882;48;82;64;17;64705882;30;14705882;23;52941176
73269;73;France;Saint-Paul-sur-Yenne;30;71895425;141;124;75;30;71895425;27;01525054;16;33986928
73270;73;France;Saint-Pierre-d'Albigny;26;42887838;615;548;498;26;42887838;23;54963472;21;40094542
73271;73;France;Saint-Pierre-d'Alvey;27;86069652;56;33;38;27;86069652;16;41791045;18;90547264
73272;73;France;Saint-Pierre-de-Belleville;15;2173913;21;56;18;15;2173913;40;57971014;13;04347826
73273;73;France;Saint-Pierre-de-Curtille;20;88888889;47;69;32;20;88888889;30;66666667;14;22222222
73274;73;France;Saint-Pierre-d'Entremont;22;86821705;59;55;57;22;86821705;21;31782946;22;09302326
73275;73;France;Saint-Pierre-de-Genebroz;22;9787234;54;69;52;22;9787234;29;36170213;22;12765957
73276;73;France;Saint-Pierre-de-Soucy;23;15436242;69;79;62;23;15436242;26;51006711;20;80536913
73277;73;France;Sainte-Reine;26;4957265;31;22;16;26;4957265;18;8034188;13;67521368
73278;73;France;Saint-Rémy-de-Maurienne;21;17794486;169;297;89;21;17794486;37;21804511;11;15288221
73280;73;France;Saint-Sorlin-d'Arves;26;34920635;83;73;62;26;34920635;23;17460317;19;68253968
73281;73;France;Saint-Sulpice;28;0141844;158;138;81;28;0141844;24;46808511;14;36170213
73282;73;France;Saint-Thibaud-de-Couz;22;07207207;147;200;122;22;07207207;30;03003003;18;31831832
73283;73;France;Saint-Vital;18;89400922;82;124;82;18;89400922;28;57142857;18;89400922
73284;73;France;Salins-Fontaine;28;83895131;154;120;89;28;83895131;22;47191011;16;66666667
73285;73;France;Sées;24;72613459;316;320;247;24;72613459;25;03912363;19;32707355
73286;73;France;Serrières-en-Chautagne;16;03630862;106;239;121;16;03630862;36;15733737;18;30559758
73288;73;France;Sonnaz;30;31066331;361;260;216;30;31066331;21;83039463;18;13602015
73289;73;France;La Table;16;28787879;43;86;43;16;28787879;32;57575758;16;28787879
73290;73;France;Lanslebourg-Mont-Cenis;28;31737346;414;328;229;28;31737346;22;43502052;15;66347469
73292;73;France;Thénésol;20;28985507;42;73;34;20;28985507;35;26570048;16;42512077
73293;73;France;Thoiry;29;85074627;100;61;86;29;85074627;18;20895522;25;67164179
73294;73;France;La Thuile;19;50207469;47;59;66;19;50207469;24;4813278;27;38589212
73296;73;France;Tignes;25;49388523;271;175;224;25;49388523;16;46284102;21;0724365
73297;73;France;Tournon;25;33333333;95;86;77;25;33333333;22;93333333;20;53333333
73298;73;France;Tours-en-Savoie;16;72597865;94;196;87;16;72597865;34;87544484;15;48042705
73299;73;France;Traize;27;14285714;57;47;35;27;14285714;22;38095238;16;66666667
73300;73;France;Tresserve;36;99453552;677;306;214;36;99453552;16;72131148;11;69398907
73301;73;France;Trévignin;29;38856016;149;117;73;29;38856016;23;07692308;14;39842209
73302;73;France;La Trinité;24;32432432;54;67;43;24;32432432;30;18018018;19;36936937
73303;73;France;Ugine;21;29225736;781;1141;649;21;29225736;31;10687023;17;69356598
73304;73;France;Val-d'Isère;35;46168959;361;143;128;35;46168959;14;04715128;12;57367387
73306;73;France;Valloire;36;81192661;321;187;81;36;81192661;21;44495413;9;288990826
73307;73;France;Valmeinier;20;18348624;66;75;68;20;18348624;22;93577982;20;79510703
73308;73;France;Venthon;21;31979695;84;135;79;21;31979695;34;26395939;20;05076142
73309;73;France;Verel-de-Montbel;22;66009852;46;54;45;22;66009852;26;60098522;22;16748768
73310;73;France;Verel-Pragondran;31;10539846;121;64;84;31;10539846;16;45244216;21;59383033
73311;73;France;Le Verneil;18;46153846;12;14;15;18;46153846;21;53846154;23;07692308
73312;73;France;Verrens-Arvey;27;3476112;166;147;99;27;3476112;24;21746293;16;30971993
73313;73;France;Verthemex;23;28767123;34;32;33;23;28767123;21;91780822;22;60273973
73314;73;France;Villard-d'Héry;20;70707071;41;46;31;20;70707071;23;23232323;15;65656566
73315;73;France;Villard-Léger;16;76829268;55;135;58;16;76829268;41;15853659;17;68292683
73316;73;France;Villard-Sallet;20;93023256;45;84;28;20;93023256;39;06976744;13;02325581
73317;73;France;Villard-sur-Doron;19;95753715;94;117;118;19;95753715;24;84076433;25;05307856
73318;73;France;Villarembert;32;48730964;64;51;31;32;48730964;25;88832487;15;73604061
73320;73;France;Villargondran;19;73434535;104;198;91;19;73434535;37;5711575;17;26755218
73322;73;France;Villarodin-Bourget;26;31578947;90;82;44;26;31578947;23;97660819;12;86549708
73323;73;France;Villaroger;25;17006803;74;69;39;25;17006803;23;46938776;13;26530612
73324;73;France;Villaroux;35;55555556;64;44;26;35;55555556;24;44444444;14;44444444
